id,mes,linea,estacion,cantidad
692,09/2018,roca,Wilde,64547
693,09/2018,roca,Yrigoyen,92149
694,09/2018,roca,Zeballos,91048
695,09/2018,sanmartin,Astolfi,14609
696,09/2018,sanmartin,B. Vista,105581
697,09/2018,sanmartin,Cabred,3829
698,09/2018,sanmartin,Caseros,152114
699,09/2018,sanmartin,Chacarita,69
700,09/2018,sanmartin,Derqui,175563
701,09/2018,sanmartin,Hurlingham,88081
702,09/2018,sanmartin,J.C. Paz,445205
703,09/2018,sanmartin,Manzanares,2406
704,09/2018,sanmartin,Muniz,68080
705,09/2018,sanmartin,Palermo,179
706,09/2018,sanmartin,Palomar,96744
707,09/2018,sanmartin,Paternal,15
708,09/2018,sanmartin,Pilar,159931
709,09/2018,sanmartin,Retiro,91
710,09/2018,sanmartin,S. Lugares,21351
711,09/2018,sanmartin,Saenz Pena,117309
712,09/2018,sanmartin,San Miguel,331225
713,09/2018,sanmartin,Sol Y Verde,98085
714,09/2018,sanmartin,V. Devoto,115116
715,09/2018,sanmartin,V. Parque,302907
716,09/2018,sanmartin,W. Morris,66210
717,09/2018,sarmiento,Caballito,182151
718,09/2018,sarmiento,Castelar,250996
719,09/2018,sarmiento,Ciudadela,158068
720,09/2018,sarmiento,Estacion 25,40
721,09/2018,sarmiento,Estacion 29,51
722,09/2018,sarmiento,Estacion 31,23
723,09/2018,sarmiento,Estacion 33,649
724,09/2018,sarmiento,Estacion 36,397
725,09/2018,sarmiento,Estacion 40,214
726,09/2018,sarmiento,Flores,252807
727,09/2018,sarmiento,Floresta,135312
728,09/2018,sarmiento,Haedo,167659
729,09/2018,sarmiento,Ituzaingo,302582
730,09/2018,sarmiento,Liniers,470348
731,09/2018,sarmiento,Merlo,889735
732,09/2018,sarmiento,Miserere,337
733,09/2018,sarmiento,Mor,834831
734,09/2018,sarmiento,Moreno,892659
735,09/2018,sarmiento,Once,1632491
736,09/2018,sarmiento,Paso del Rey,216051
737,09/2018,sarmiento,Ramos Mej,490901
738,09/2018,sarmiento,S.A de Padua,280056
739,09/2018,sarmiento,Villa Luro,102600
740,08/2018,belgranosur,Aldo Bonzi,4201
741,08/2018,belgranosur,Buenos Aires,33
742,08/2018,belgranosur,Castello,60404
743,08/2018,belgranosur,Castillo,41281
744,08/2018,belgranosur,Eva Duarte,48974
745,08/2018,belgranosur,Fournier,39560
746,08/2018,belgranosur,G. Catan,195491
747,08/2018,belgranosur,I. Casanova,27918
748,08/2018,belgranosur,Illia,20414
749,08/2018,belgranosur,Independencia,137432
750,08/2018,belgranosur,J. Ingenieros,4318
751,08/2018,belgranosur,KM. 12,2763
752,08/2018,belgranosur,Laferrere,229610
753,08/2018,belgranosur,Libertad,31300
754,08/2018,belgranosur,M. Belgrano,46526
755,08/2018,belgranosur,Mendeville,5771
756,08/2018,belgranosur,Merlo Gomez,26592
757,08/2018,belgranosur,Querandi,30755
758,08/2018,belgranosur,Saenz,290353
759,08/2018,belgranosur,Tapiales,35239
760,08/2018,belgranosur,V. Madero,75784
761,08/2018,belgranosur,V. Soldati,42663
762,08/2018,belgranosur,V.lugano,96495
763,08/2018,belgranosur,Villegas,6798
764,08/2018,mitre,3 De Febrero,72371
765,08/2018,mitre,Acassuso,65666
766,08/2018,mitre,Beccar,71408
767,08/2018,mitre,Belgrano C.,293570
768,08/2018,mitre,Belgrano R.,211729
769,08/2018,mitre,Benavidez,483
770,08/2018,mitre,Carranza,219887
771,08/2018,mitre,Carupa,88559
772,08/2018,mitre,Centrangolo,18357
773,08/2018,mitre,Chilavert,61605
774,08/2018,mitre,Coghlan,31070
775,08/2018,mitre,Colegiales,101385
776,08/2018,mitre,Drago,68312
777,08/2018,mitre,El Talar,87
778,08/2018,mitre,Escobar,3374
779,08/2018,mitre,Florida,24446
780,08/2018,mitre,Garin,1863
781,08/2018,mitre,Jose Leon Suarez,267077
782,08/2018,mitre,Juan B. Justo,23648
783,08/2018,mitre,La Lucila,61948
784,08/2018,mitre,Lopez Camelo,1524
785,08/2018,mitre,Malaver,34296
786,08/2018,mitre,Maq. Savio,2273
787,08/2018,mitre,Martinez,176866
788,08/2018,mitre,Matheu,1339
789,08/2018,mitre,Migueletes,42591
790,08/2018,mitre,Mitre,72026
791,08/2018,mitre,Nuñez,114467
792,08/2018,mitre,Olivos,95810
793,08/2018,mitre,Pueyrredon,90326
794,08/2018,mitre,Retiro,713114
795,08/2018,mitre,Retiro,744735
796,08/2018,mitre,Rivadavia,100877
797,08/2018,mitre,Saavedra,50717
798,08/2018,mitre,San Andres,54999
799,08/2018,mitre,San Fernando,92347
800,08/2018,mitre,San Isidro,331755
801,08/2018,mitre,San Martin,281913
802,08/2018,mitre,Tigre,317746
803,08/2018,mitre,Urquiza,271465
804,08/2018,mitre,V. Ballester,180681
805,08/2018,mitre,Vicente Lopez,99053
806,08/2018,mitre,Victoria Elect,87673
807,08/2018,mitre,Virreyes,153941
808,08/2018,mitre,Zarate,815
809,08/2018,mitre,Zelaya,473
810,08/2018,roca,A. De Elia,30
811,08/2018,roca,A. Petion,6251
812,08/2018,roca,A.korn,230035
813,08/2018,roca,Abbot,7
814,08/2018,roca,Adrogue,350105
815,08/2018,roca,Ardigo,143697
816,08/2018,roca,Banfield,627195
817,08/2018,roca,Berazategui,284571
818,08/2018,roca,Bernal,92099
819,08/2018,roca,Bosques,96296
820,08/2018,roca,Brandsen,1098
821,08/2018,roca,Brian,1
822,08/2018,roca,Burzaco,574624
823,08/2018,roca,Calzada,171302
824,08/2018,roca,Canuelas,29117
825,08/2018,roca,Chascomus,2385
826,08/2018,roca,City Bell,47461
827,08/2018,roca,Claypole,315505
828,08/2018,roca,Constitucion,4635975
829,08/2018,roca,Dario Y Maxi,303821
830,08/2018,roca,Don Bosco,57633
831,08/2018,roca,El Jaguel,217412
832,08/2018,roca,Escalada,158135
833,08/2018,roca,Ezeiza,541570
834,08/2018,roca,Ezpeleta,196005
835,08/2018,roca,F. Varela,280201
836,08/2018,roca,Gerli,164623
837,08/2018,roca,Glew,705453
838,08/2018,roca,Gonnet,20757
839,08/2018,roca,Guernica,151224
840,08/2018,roca,Gutierrez,8371
841,08/2018,roca,H. Espanol,24
842,08/2018,roca,Haedo,3141
843,08/2018,roca,Hudson,69731
844,08/2018,roca,J. Marmol,58510
845,08/2018,roca,Juan XXIII,5
846,08/2018,roca,Kloosterman,144
847,08/2018,roca,Km. 33,10
848,08/2018,roca,Km. 34,7
849,08/2018,roca,L. De Zamora,1205164
850,08/2018,roca,L. Guillon,157494
851,08/2018,roca,La Noria,4
852,08/2018,roca,La Plata,354286
853,08/2018,roca,Lanus,999585
854,08/2018,roca,Levene,112
855,08/2018,roca,Llavallol,101749
856,08/2018,roca,Longchamps,533911
857,08/2018,roca,Maximo Paz,1058
858,08/2018,roca,Monte,69
859,08/2018,roca,Monte Grande,611677
860,08/2018,roca,Pereyra,1141
861,08/2018,roca,Platanos,54527
862,08/2018,roca,Policlinico,214
863,08/2018,roca,Quilmes,376315
864,08/2018,roca,Ranelagh,9291
865,08/2018,roca,Ringuelet,9275
866,08/2018,roca,San Justo,407
867,08/2018,roca,Santa Sofia,15992
868,08/2018,roca,Sarandi,46377
869,08/2018,roca,Sourigues,16077
870,08/2018,roca,Spegazzini,12360
871,08/2018,roca,Sta. Catalina,1
872,08/2018,roca,Tablada,387
873,08/2018,roca,Temperley,318930
874,08/2018,roca,Tolosa,12550
875,08/2018,roca,Tristan Suarez,20955
876,08/2018,roca,Turdera,108837
877,08/2018,roca,U. Ferroviaria,152
878,08/2018,roca,V. Casares,149
879,08/2018,roca,V. Dominico,41354
880,08/2018,roca,Villa Elisa,39913
881,08/2018,roca,Villa Espana,10387
882,08/2018,roca,Wilde,74511
883,08/2018,roca,Yrigoyen,101452
884,08/2018,roca,Zeballos,99393
885,08/2018,sanmartin,Astolfi,17955
886,08/2018,sanmartin,B. Vista,114466
887,08/2018,sanmartin,Cabred,3346
888,08/2018,sanmartin,Caseros,163505
889,08/2018,sanmartin,Chacarita,137
890,08/2018,sanmartin,Derqui,189349
891,08/2018,sanmartin,Hurlingham,90268
892,08/2018,sanmartin,J.C. Paz,486185
893,08/2018,sanmartin,Manzanares,2242
894,08/2018,sanmartin,Muniz,67801
895,08/2018,sanmartin,Palermo,376
896,08/2018,sanmartin,Palomar,105641
897,08/2018,sanmartin,Paternal,20
898,08/2018,sanmartin,Pilar,167579
899,08/2018,sanmartin,Retiro,16
900,08/2018,sanmartin,S. Lugares,22824
901,08/2018,sanmartin,Saenz Pena,121349
902,08/2018,sanmartin,San Miguel,353666
903,08/2018,sanmartin,Sol Y Verde,103538
904,08/2018,sanmartin,V. Devoto,125793
905,08/2018,sanmartin,V. Parque,340206
906,08/2018,sanmartin,W. Morris,70004
907,08/2018,sarmiento,Caballito,197099
908,08/2018,sarmiento,Castelar,275135
909,08/2018,sarmiento,Ciudadela,84414
910,08/2018,sarmiento,Estacion 25,182
911,08/2018,sarmiento,Estacion 29,466
912,08/2018,sarmiento,Estacion 31,294
913,08/2018,sarmiento,Estacion 32,1953
914,08/2018,sarmiento,Estacion 33,6053
915,08/2018,sarmiento,Estacion 36,5885
916,08/2018,sarmiento,Estacion 40,2388
917,08/2018,sarmiento,Flores,274711
918,08/2018,sarmiento,Floresta,151481
919,08/2018,sarmiento,Haedo,187696
920,08/2018,sarmiento,Ituzaingo,281853
921,08/2018,sarmiento,Liniers,221340
922,08/2018,sarmiento,Merlo,970175
923,08/2018,sarmiento,Miserere,369
924,08/2018,sarmiento,Moreno,925785
925,08/2018,sarmiento,Morón,968464
926,08/2018,sarmiento,Once,1855074
927,08/2018,sarmiento,Paso del Rey,231627
928,08/2018,sarmiento,Ramos Mejía,515496
929,08/2018,sarmiento,S.A de Padua,304138
930,08/2018,sarmiento,Villa Luro,117156
931,05/2017,Mitre,3 DE FEBRERO,20861
932,05/2017,Mitre,ACASSUSO,20294
933,05/2017,Mitre,BECCAR,71257
934,05/2017,Mitre,BELGRANO C.,371638
935,05/2017,Mitre,BELGRANO R.,155479
936,05/2017,Mitre,CARRANZA,161563
937,05/2017,Mitre,CARUPA,122340
938,05/2017,Mitre,CENTRANGOLO,15832
939,05/2017,Mitre,CHILAVERT,33799
940,05/2017,Mitre,COGHLAN,15471
941,05/2017,Mitre,COLEGIALES,26728
942,05/2017,Mitre,DRAGO,28806
943,05/2017,Mitre,FLORIDA,15855
944,05/2017,Mitre,JOSE LEON SUAREZ,205224
945,05/2017,Mitre,JUAN B. JUSTO,2392
946,05/2017,Mitre,L. DE LA TORRE,62278
947,05/2017,Mitre,LA LUCILA,61515
948,05/2017,Mitre,MALAVER,2564
949,05/2017,Mitre,MARTINEZ,178859
950,05/2017,Mitre,MITRE,52950
951,05/2017,Mitre,NUÑEZ,93578
952,05/2017,Mitre,OLIVOS,74947
953,05/2017,Mitre,PUEYRREDON,40861
954,05/2017,Mitre,RETIRO (SUA-MIT),602436
955,05/2017,Mitre,RETIRO (TIGRE),815150
956,05/2017,Mitre,RIVADAVIA,61680
957,05/2017,Mitre,SAAVEDRA,25933
958,05/2017,Mitre,SAN ANDRES,10262
959,05/2017,Mitre,SAN FERNANDO,81670
960,05/2017,Mitre,SAN ISIDRO,303140
961,05/2017,Mitre,SAN MARTIN,185457
962,05/2017,Mitre,TIGRE,281583
963,05/2017,Mitre,URQUIZA,184591
964,05/2017,Mitre,V. BALLESTER,122333
965,05/2017,Mitre,VICENTE LOPEZ,77916
966,05/2017,Mitre,VICTORIA ELECT,74873
967,05/2017,Mitre,VIRREYES,115820
968,05/2017,Roca,A. PETION,1455
969,05/2017,Roca,A.KORN,183090
970,05/2017,Roca,ADROGUE,277643
971,05/2017,Roca,ARDIGO,50972
972,05/2017,Roca,BANFIELD,533055
973,05/2017,Roca,BERAZATEGUI,37345
974,05/2017,Roca,BERNAL,9165
975,05/2017,Roca,BOSQUES,5673
976,05/2017,Roca,BURZACO,488300
977,05/2017,Roca,CALZADA,133380
978,05/2017,Roca,CANUELAS,6611
979,05/2017,Roca,CITY BELL,11272
980,05/2017,Roca,CLAYPOLE,310578
981,05/2017,Roca,CONSTITUCION,3309393
982,05/2017,Roca,DARIO Y MAXI,218384
983,05/2017,Roca,DON BOSCO,2315
984,05/2017,Roca,EL JAGUEL,164063
985,05/2017,Roca,ESCALADA,114982
986,05/2017,Roca,EZEIZA,448090
987,05/2017,Roca,EZPELETA,27863
988,05/2017,Roca,F. VARELA,57687
989,05/2017,Roca,GERLI,117018
990,05/2017,Roca,GLEW,594647
991,05/2017,Roca,GONNET,231
992,05/2017,Roca,GUERNICA,100806
993,05/2017,Roca,GUTIERREZ,5046
994,05/2017,Roca,HAEDO,575
995,05/2017,Roca,HUDSON,530
996,05/2017,Roca,J. MARMOL,70933
997,05/2017,Roca,L. DE ZAMORA,900488
998,05/2017,Roca,L. GUILLON,117456
999,05/2017,Roca,LA PLATA,1849
1000,05/2017,Roca,LANUS,779454
1001,05/2017,Roca,LLAVALLOL,74890
1002,05/2017,Roca,LONGCHAMPS,422244
1003,05/2017,Roca,MAXIMO PAZ,4314
1004,05/2017,Roca,MONTE GRANDE,398411
1005,05/2017,Roca,PLATANOS,6832
1006,05/2017,Roca,QUILMES,35451
1007,05/2017,Roca,RINGUELET,93
1008,05/2017,Roca,SAN JUSTO,183
1009,05/2017,Roca,SANTA SOFIA,6379
1010,05/2017,Roca,SARANDI,12377
1011,05/2017,Roca,SPEGAZZINI,4170
1012,05/2017,Roca,TEMPERLEY,233434
1013,05/2017,Roca,TOLOSA,57
1014,05/2017,Roca,TRISTAN SUAREZ,2801
1015,05/2017,Roca,TURDERA,88987
1016,05/2017,Roca,V. CASARES,379
1017,05/2017,Roca,V. DOMINICO,3489
1018,05/2017,Roca,VILLA ELISA,3887
1019,05/2017,Roca,WILDE,8016
1020,05/2017,Roca,YRIGOYEN,83951
1021,05/2017,Roca,ZEBALLOS,22549
1022,05/2017,San Martín,BELLA VISTA,149685
1023,05/2017,San Martín,CASEROS,213733
1024,05/2017,San Martín,CHACARITA,200390
1025,05/2017,San Martín,DERQUI,110120
1026,05/2017,San Martín,DEVOTO,151947
1027,05/2017,San Martín,EL PALOMAR,127009
1028,05/2017,San Martín,HURLINGHAM,132123
1029,05/2017,San Martín,JOSE C PAZ,500842
1030,05/2017,San Martín,LA PATERNAL,41845
1031,05/2017,San Martín,MUÑIZ,91022
1032,05/2017,San Martín,PALERMO,355376
1033,05/2017,San Martín,PILAR,135288
1034,05/2017,San Martín,RETIRO,528712
1035,05/2017,San Martín,SAENZ PEÑA,113332
1036,05/2017,San Martín,SAN MIGUEL,379213
1037,05/2017,San Martín,SANTOS LUGARES,39717
1038,05/2017,San Martín,SOL Y VERDE,51177
1039,05/2017,San Martín,VILLA ASTOLFI,14159
1040,05/2017,San Martín,VILLA DEL PARQUE,159105
1041,05/2017,San Martín,WILLIAM MORRIS,75243
1042,05/2017,Sarmiento,CABALLITO,457
1043,05/2017,Sarmiento,CASTELAR,782838
1044,05/2017,Sarmiento,CIUDADELA,14091
1045,05/2017,Sarmiento,FLORES,133015
1046,05/2017,Sarmiento,FLORESTA,196975
1047,05/2017,Sarmiento,HAEDO,344723
1048,05/2017,Sarmiento,ITUZAINGÓ,201252
1049,05/2017,Sarmiento,LINIERS,64384
1050,05/2017,Sarmiento,MORÓN,128772
1051,05/2017,Sarmiento,ONCE,1253288
1052,05/2017,Sarmiento,PASO DEL REY,846037
1053,05/2017,Sarmiento,RAMOS MEJÍA,137735
1054,05/2017,Sarmiento,S.A. DE PADUA,190795
1055,05/2017,Sarmiento,VILLA LURO,116788
